idx_ref,class_id,flux,Ea_rep_eV,status,n_pad,n_bad_snap,pad_unresolved_top,pad_unresolved_bot,refine_ok,ladder_len,Ea_meas_eV,dE_meas_eV,nu0_diag_hz,n_imag_sad,mover_ok,dra_ok,dra_stored,dra_meas,relax_shift_max,class_id_stored_matches,class_id_ok,class_id_after,max_residual_before,max_residual_after,accepted,dEa_eV,in_band,error,saddle_token_flicker
291,5a920588ff8df39ac835245adc93bb5c83d5759091de1da32c5063332a61ad44,23.96801451319437,0.5664261875299418,measured_in_band,450,0,False,True,True,1,0.5622221360131334,-0.047465643832765636,12031294454857.781,1.0,True,True,1.317038509341551,1.3194005689441934,0.056870707586218004,True,True,5a920588ff8df39ac835245adc93bb5c83d5759091de1da32c5063332a61ad44,0.058400465114825544,0.05840960332017216,True,-0.00420405151680836,True,,False
285,1f686121c5e0c598f102634b9b1d7068aa2a5d5ddfa95ec6b3bcb2547da4a623,23.53812556819546,0.5628886186814271,measured_in_band,450,0,False,True,True,1,0.5594383838601971,-0.011907985408925015,15606959140615.129,1.0,True,True,1.3158276083994658,1.3067283562791514,0.065994662450404,True,True,02cad120081554643a0e8a48a5656aee4c2e0e1de88d5be4943726074b661826,0.06628150980120905,0.06378346986730803,True,-0.0034502348212300804,True,,True
20,7cb2d13d4f69d7a84a723b42c43fdea7b7763ebe20dbc5be5a67a44cbddaeb23,22.35967269984219,0.6260667091182768,measured_in_band,450,0,False,True,True,1,0.6180225923376383,-0.0007456465377799759,31450689700055.76,1.0,True,True,1.2622131062240667,1.25709190473148,0.06422078104719668,True,True,7cb2d13d4f69d7a84a723b42c43fdea7b7763ebe20dbc5be5a67a44cbddaeb23,0.06547880539383902,0.05246892485531654,True,-0.008044116780638433,True,,False
19,e84fd43dcc3527896d8c5988b3c29b606a67ae8e26775e79c818546ceafaa528,21.31392416611489,0.626565926136209,measured_in_band,450,0,False,True,True,1,0.6173666027189029,0.0005941184285802592,49907516110737.73,1.0,True,True,1.262054262608393,1.2549046959999217,0.08014367075983903,True,True,6bf876cc4fa363c18c2270fdba786999cced076afd568b2b301a4ab8502ee8e6,0.08154382142471966,0.08532188385314275,True,-0.009199323417306116,True,,True
369,080554a1fb0500a9e2593b72da5b6d27ef60020783db1f73fd07de4b4b98837f,8.835522694917175,0.6427712845261341,acceptance_failed,450,0,False,True,True,1,0.6406221174329403,0.062507417652796,411372713598949.4,1.0,True,True,1.1834975578741005,1.1338855056694392,0.11964084558258554,True,False,53a502e374fa178c07b8d972f39669712ce12dcbdb6d21eef62cfab1918601c8,0.11985005849128615,0.10202734826027073,False,-0.0021491670931937934,True,,False
221,547f1b39e1147bb2d670415f10241322c29b66717332228fa05bd7b285ca2201,8.37819723811284,0.6113783370628881,measured_in_band,450,0,False,True,True,1,0.6056794878622895,0.014544596611358429,22873553903061.348,1.0,True,True,1.2762420742297707,1.2700587251637054,0.06745602948593295,True,True,547f1b39e1147bb2d670415f10241322c29b66717332228fa05bd7b285ca2201,0.06846922609731869,0.06751121901865083,True,-0.005698849200598599,True,,False
317,92eaf72eb719d197ef5b15874d8f3c1bbe5563b7ae8b5ee302f0c8535bb0c56b,6.211188459394406,0.683533517520118,measured_in_band,450,0,False,True,True,1,0.678057381304825,0.6655037098403227,574298115594987.1,1.0,True,True,0.9830724503511422,1.02743604202547,0.10259690216063037,True,True,92eaf72eb719d197ef5b15874d8f3c1bbe5563b7ae8b5ee302f0c8535bb0c56b,0.10527558081244426,0.0931582844350388,True,-0.0054761362152930815,True,,False
241,f15da8e82e022e4754c501acf0119302a53e15a7edc32d47d863d5a4ef9f0d3e,5.87337343240076,0.6194595989527444,acceptance_failed,450,0,False,True,True,1,0.6137277890888981,0.010250944645576965,29827657073070.145,1.0,True,True,1.1615559002256113,1.1608242792831702,0.06677836604542707,True,False,7885b619a878bcef41e91daecd651be6dc8283f668f59c1fa1b18e7589c29dec,0.08266313960046244,0.08120469334112525,False,-0.005731809863846249,True,,False
293,2efd60b5a53435d14b01d79b0695b4880c9d33f3d87a93d105fd73a51b8f7535,5.587455973744135,0.7056850291346564,measured_in_band,450,0,False,True,True,1,0.6989385461483835,0.6845543504077796,958281280851423.2,1.0,True,True,0.9828309826212076,1.0338257123077368,0.10762056938784853,True,True,2efd60b5a53435d14b01d79b0695b4880c9d33f3d87a93d105fd73a51b8f7535,0.11368337506941327,0.09986806750370576,True,-0.006746482986272895,True,,False
385,6cf0bd5992efabb5f6f6b329893b1ee5c684aeb053aa127a2d143ff90368dfc8,5.38816691942266,0.5753139438647851,measured_in_band,450,0,False,True,True,1,0.5693510247533595,-0.046603778574080934,21275789232694.707,1.0,True,True,1.2993854034194257,1.3161757540250538,0.055911959742993254,True,True,6cf0bd5992efabb5f6f6b329893b1ee5c684aeb053aa127a2d143ff90368dfc8,0.06815634707691082,0.062314619730686395,True,-0.005962919111425546,True,,False
