run_tag,n_segments,n_out_rows,max_step,n_event_rows,n_idx_refs,flux_firings,n_selected
NiCr_Ni95_Cr05_T300_10vac,1,2000,2000,91613,499,1978.098012921319,2000
NiCr_Ni95_Cr05_T300_1vac,2,2000,2000,12560,324,1987.3179642713076,2000
NiCr_Ni95_Cr05_T300_2vac,1,2000,2000,18942,112,1945.0138319003497,2000
NiCr_Ni95_Cr05_T300_3vac,1,2000,2000,23837,218,2006.979295040515,2000
NiCr_Ni95_Cr05_T300_4vac,1,2000,2000,39386,211,1947.7256336104924,2000
NiCr_Ni95_Cr05_T300_5vac,1,2000,2000,45716,242,1989.8620452868122,2000
NiCr_Ni95_Cr05_T300_6vac,1,2000,2000,57777,409,1972.9442275675926,2000
NiCr_Ni95_Cr05_T300_7vac,1,2000,2000,65370,236,2050.771699625152,2000
NiCr_Ni95_Cr05_T300_8vac,1,2000,2000,80936,449,1940.5758103820378,2000
NiCr_Ni95_Cr05_T300_9vac,1,2000,2000,84575,572,2041.6704365781543,2000
NiCr_Ni95_Cr05_T400_10vac,1,2000,2000,98192,955,1951.9960828960802,2000
NiCr_Ni95_Cr05_T400_1vac,1,2000,2000,10786,754,1949.9227046915548,2000
NiCr_Ni95_Cr05_T400_2vac,1,2000,2000,16903,82,1938.4634399355948,2000
NiCr_Ni95_Cr05_T400_3vac,1,2000,2000,24430,580,1927.4467349842985,2000
NiCr_Ni95_Cr05_T400_4vac,1,2000,2000,34893,193,2002.5712773476885,2000
NiCr_Ni95_Cr05_T400_5vac,1,2000,2000,45963,699,2066.1450845718787,2000
NiCr_Ni95_Cr05_T400_6vac,1,2000,2000,53069,932,2100.5376746742427,2000
NiCr_Ni95_Cr05_T400_7vac,1,2000,2000,63868,890,2044.9186619728061,2000
NiCr_Ni95_Cr05_T400_8vac,1,2000,2000,68209,541,2059.0262022776747,2000
NiCr_Ni95_Cr05_T400_9vac,1,2000,2000,81614,516,2015.060686015308,2000
NiCr_Ni95_Cr05_T500_10vac,1,2000,2000,71801,1012,2026.4473546969734,2000
NiCr_Ni95_Cr05_T500_1vac,1,2000,2000,11279,742,2028.6970643762018,2000
NiCr_Ni95_Cr05_T500_2vac,1,2000,2000,23430,883,2071.025148797017,2000
NiCr_Ni95_Cr05_T500_3vac,1,2000,2000,23173,1021,1975.8107238356586,2000
NiCr_Ni95_Cr05_T500_4vac,1,2000,2000,28071,452,2021.5332073286484,2000
