idx_ref,class_id_v3,class_id_v3_short,class_id_v1_reviewlist,class_id_v1_short,review_group_2026_07,review_reason_2026_07,regroup_2026_08_15,archetype,action_id,mover_species,n_movers,arrow,depth_sig,hop_len_A,hop_over_1nn,saddle_disp_A,final_mover_snap_resid_A,geometry_flag,token_before,token_after,coord_sig_changed,kind_changed,n_sites_crossing_cutoff,min_cutoff_margin_A,crossing_sites,d4h_gauge_rotation,token_swap_recovers_stored_id,token_blind_ids_equal,Ea_harvested_eV,Ea_researched_eV,dEa_eV,in_band_0p05,n_members_verify_run,nu0_harvested_Hz,nu0_diag_padded_Hz,dE_pair_eV,dE_researched_eV,pair_status_verify,backward_class_short,audit_status_verify,nu0_pair_policy_verify,flux_verify_run_firings,flux_verify_run_pct,in_phase2_merged_29run,phase2_status,in_nicr_2026_08_14,nicr_0814_n_eff,nicr_0814_Ea_rep_eV,nicr_0814_audit_status,nicr_0814_nu0_pair_policy,nicr_0814_audit_reason,nicr_0814_flux_firings,nicr_0814_n_selected,max_residual_before_A,max_residual_after_A,relax_shift_max_A,pARTn_ladder_len
369,3bc7bdd3c73a5e2523dd9584fd9b8e51efc17efae813f287183c2ecfe6fbf518,3bc7bdd3c73a,080554a1fb0500a9e2593b72da5b6d27ef60020783db1f73fd07de4b4b98837f,080554a1fb05,saddle-token-flicker (Q8 strict),token-flicker sig6->4,Q8-coord_sig knife-edge,V1NN_inplane,247c6ad71f8e0c82,Cr,1,"(0, 0, 0)->(-1, -1, 0) Cr",SURFACE/7,2.447,0.983,1.183,0.042,,"HOLLOW_FCC(7, 7, 8, 8, 11, 11)","HOLLOW_FCC(8, 8, 11, 11)",True,False,2,0.004,"(0, -2, 0)c7 0.9902->1.0014; (-2, 0, 0)c7 0.9909->1.0021",False,True,True,0.6428,0.6406,-0.0021,True,1.0,9720016094872.057,411372713598949.4,0.0634049098371178,0.0625,linked,fe331e020892,pending,pending_research,8.836,2.756,False,,True,2.0,0.6462,approved,pending_research,PENDING_RE_SEARCH: recovered by the 2026-07-22 frame fix with no previously-measured member; awaiting in-situ ,10.108,9.0,0.1199,0.102,0.1196,1
241,435efbdb931f1fc84b032f3517bd32048618cea3f4ac9db79eb9249d74822f74,435efbdb931f,f15da8e82e022e4754c501acf0119302a53e15a7edc32d47d863d5a4ef9f0d3e,f15da8e82e02,saddle-token-flicker (Q8 strict),token-flicker sig6->5,Q8-coord_sig knife-edge,V1NN_inplane,247c6ad71f8e0c82,Cr,1,"(0, 0, 0)->(1, 1, 0) Cr",SURFACE/7,2.463,0.99,1.162,0.04,,"HOLLOW_FCC(7, 7, 8, 8, 11, 11)","HOLLOW_FCC(7, 8, 8, 11, 11)",True,False,1,0.002,"(2, 0, 0)c7 0.9982->1.0007",False,True,True,0.6195,0.6137,-0.0057,True,1.0,8660145077083.336,29827657073070.145,0.0103344512353942,0.0103,linked,64b1fcf53743,pending,pending_research,5.873,1.832,False,,False,,,,,,,,0.0827,0.0812,0.0668,1
110,db7b0796779cb0282ced852a7b46ba54cbf79d623e6d69997f9462610ab688c6,db7b0796779c,6e4805c19858221706ff597ccdc0bed2104782e9e91f165097a38140a6496796,6e4805c19858,saddle-token-flicker (Q8 strict),token-flicker sig5->6 (OTHER),Q8-coord_sig knife-edge,V1NN_inplane,5cf5705e14817baf,Ni,1,"(0, 0, 0)->(1, -1, 0) Ni",SURFACE/7,2.566,1.031,1.155,0.087,,"OTHER(7, 8, 8, 11, 11)","OTHER(7, 7, 8, 8, 11, 11)",True,False,1,0.0043,"(2, 0, 0)c7 1.0170->0.9985",False,True,True,0.7334,0.7231,-0.0103,True,1.0,16657288961971.293,794816543443537.5,-0.0128756726335268,-0.0174,linked,edf9468abb9b,pending,pending_research,1.773,0.553,False,,True,3.0,0.7328,quarantined,,QC: pair reciprocity broken (|dE_f+dE_b|=0.0001 eV) — mislink/projection artifact,2.603,1.0,0.1263,0.1129,0.1208,1
96,c6e67890a9dcea4ac2b0b25ca6577ded42cf5252f4c29b71fb64393e77f5c178,c6e67890a9dc,2a60b77a4ab1fe6cd8e7bd234af2125dfdb16326200325cfd4b8c834c8a1e215,2a60b77a4ab1,structural-identity-change,structural: delta+context changed,Q8-coord_sig knife-edge,V1NN_inplane,5cf5705e14817baf,Ni,1,"(0, 0, 0)->(-1, -1, 0) Ni",SURFACE/7,1.323,0.532,1.072,1.19,"HALF-HOP final state (0.53x1NN, unpaired)","HOLLOW_FCC(8, 8, 11, 11)","HOLLOW_FCC(7, 8, 8, 11, 11)",True,False,1,0.0006,"(2, 0, 0)c7 1.0002->0.9991",True,True,True,0.7946,0.7916,-0.003,True,1.0,27753567303586.33,349866034814801.8,,0.7869,unpaired,,pending,pending_research,1.678,0.523,False,,False,,,,,,,,0.0847,0.0738,0.0805,1
152,2458625563183da22191d99bb2c341abe87170402ce29158d09e731f0282a432,245862556318,0909b0fead0c8a39fa80d694ebc657e2a23c464fe74b7402dae86c0c9de1f0da,0909b0fead0c,saddle-token-flicker (Q8 strict),token-flicker sig4->5,Q8-coord_sig knife-edge,V1NN_inplane,5cf5705e14817baf,Ni,1,"(0, 0, 0)->(1, -1, 0) Ni",SURFACE/7,1.312,0.527,1.071,1.204,"HALF-HOP final state (0.53x1NN, unpaired)","HOLLOW_FCC(8, 8, 11, 11)","HOLLOW_FCC(7, 8, 8, 11, 11)",True,False,1,0.0006,"(0, -2, 0)c7 1.0042->0.9998",False,True,True,0.8064,0.7997,-0.0068,True,1.0,29943392839226.44,414626554266693.5,,0.7961,unpaired,,pending,pending_research,1.451,0.453,False,,False,,,,,,,,0.1067,0.0893,0.1045,1
435,f9c65e0b55e1acd168b8c747ebc0e4ef6013fb8172ab462ea86bd3448128dfd8,f9c65e0b55e1,10f2625d22d9c9ab3766535a0705f9db2d1dffd4f981dfa83a077ca9fd9a0517,10f2625d22d9,structural-identity-change,structural: delta+context changed,Q7-hysteresis (approved rule 8),V1NN_inplane,247c6ad71f8e0c82,Cr,1,"(0, 0, 0)->(1, 1, 0) Cr",SURFACE/7,2.467,0.991,1.343,0.041,,"HOLLOW_FCC(7, 7, 8, 8, 11, 11)","OTHER(7, 7, 8, 8, 11, 11)",False,True,0,,,True,True,True,0.5708,0.569,-0.0018,True,1.0,6263968476673.315,17823773686478.246,-0.0281649800808736,-0.0268,linked,b87a270d50e9,pending,pending_research,1.173,0.366,False,,False,,,,,,,,0.0773,0.0845,0.0668,1
201,6c7a17975c517d5c33c85d9087633b62c7e524bc836d7e6d6fd3fe57491e5836,6c7a17975c51,520aa8ac4f827ca296a3b527f7d5077eb53d85e532aad8d743695e5bfb4de4cf,520aa8ac4f82,saddle-token-flicker (Q8 strict),token-flicker sig5->6 (OTHER),Q8-coord_sig knife-edge,V1NN_inplane,5cf5705e14817baf,Ni,1,"(0, 0, 0)->(-1, 1, 0) Ni",SURFACE/7,2.578,1.036,1.169,0.096,,"OTHER(7, 8, 8, 11, 11)","OTHER(7, 7, 8, 8, 11, 11)",True,False,1,0.0109,"(-2, 0, 0)c7 1.0140->0.9962",False,True,True,0.7456,0.7345,-0.0111,True,1.0,15702745456072.465,1169134334726371.8,-0.0081560013668422,-0.0126,linked,89bb728c0636,pending,pending_research,0.972,0.303,False,,True,1.0,0.7445,pending,pending_research,PENDING_RE_SEARCH: recovered by the 2026-07-22 frame fix with no previously-measured member; awaiting in-situ ,4.277,1.0,0.1369,0.1253,0.1368,1
146,68f112cce97809c952363f041a9152ab4fe07ac3f9883deb1fba2e6601a48bcc,68f112cce978,d39e02b25986f188cdc42cd91496b2091c004f11c0b36aa0a4a6e277d68cba3f,d39e02b25986,saddle-token-flicker (Q8 strict),token-flicker sig5->4,Q8-coord_sig knife-edge,V1NN_inplane,5cf5705e14817baf,Ni,1,"(0, 0, 0)->(1, -1, 0) Ni",SURFACE/7,2.562,1.029,1.443,0.073,,"HOLLOW_FCC(7, 7, 8, 11, 11)","HOLLOW_FCC(7, 7, 11, 11)",True,False,1,0.0017,"(-1, -1, 0)c8 0.9994->1.0063",False,True,True,0.8096,0.8066,-0.003,True,1.0,20687300532580.363,531298255305492.56,-0.0202942395981153,-0.0211,linked,cc0860ceb7e4,pending,pending_research,0.751,0.234,True,pending/pending_research,True,4.0,0.7874,quarantined,,QC: pair reciprocity broken (|dE_f+dE_b|=0.0001 eV) — mislink/projection artifact,2.18,3.0,0.1162,0.1149,0.1123,11
436,b87a270d50e9a8223597ae8b7bed633ce9a8120b8eb5a82b3fb66d0b3d85080b,b87a270d50e9,4c18235a45c1b31164b7ca593c727d7f294333cb95c0b47b398c9c30df0e1860,4c18235a45c1,saddle-token-flicker (Q8 strict),token-flicker sig6->5,Q8-coord_sig knife-edge,V1NN_inplane,247c6ad71f8e0c82,Cr,1,"(0, 0, 0)->(-1, -1, 0) Cr",SURFACE/7,2.467,0.991,1.177,0.043,,"HOLLOW_FCC(7, 7, 8, 8, 11, 11)","HOLLOW_FCC(7, 8, 8, 11, 11)",True,False,1,0.0029,"(-2, 0, 0)c7 0.9913->1.0010",False,True,True,0.5989,0.5964,-0.0026,True,1.0,7262170507278.134,55335009593933.84,0.0281649800808736,0.025,linked,f9c65e0b55e1,pending,pending_research,0.593,0.185,False,,True,2.0,0.6032,approved,pending_research,PENDING_RE_SEARCH: recovered by the 2026-07-22 frame fix with no previously-measured member; awaiting in-situ ,19.8,22.0,0.0865,0.0757,0.0859,1
76,d01234bc1eaf3af5c25f2705dec2d6152da94601cbc4493d408cb2b1e1591efd,d01234bc1eaf,8b47a4e47f3f84f467860cfec90efaf4e8797e07e9455df3ff35d2bc0a98c8d0,8b47a4e47f3f,saddle-token-flicker (Q8 strict),token-flicker sig5->4,Q8-coord_sig knife-edge,V1NN_inplane,5cf5705e14817baf,Ni,1,"(0, 0, 0)->(1, -1, 0) Ni",SURFACE/7,2.51,1.009,1.414,0.039,,"HOLLOW_FCC(7, 7, 8, 11, 11)","HOLLOW_FCC(7, 7, 11, 11)",True,False,1,0.0006,"(-1, -1, 0)c8 0.9998->1.0030",False,True,True,0.7793,0.7809,0.0016,True,1.0,18659716282758.527,67481185814088.61,-0.0090592170035961,-0.0091,linked,cd36b265ecc1,pending,pending_research,0.511,0.159,False,,True,2.0,0.7799,quarantined,,QC: pair reciprocity broken (|dE_f+dE_b|=0.0001 eV) — mislink/projection artifact,0.617,3.0,0.065,0.0721,0.0599,11
405,2ad57879eec75f46d7c4c551b6d874c0e66101080195ad670ea452838b10fa42,2ad57879eec7,bbf1c0a37260601585df11707cd7e88d2de4295fe4560599696478d7025e2e05,bbf1c0a37260,saddle-token-flicker (Q8 strict),token-flicker kind HOLLOW_FCC->OTHER,Q8-coord_sig knife-edge,V1NN_inplane,5cf5705e14817baf,Ni,1,"(0, 0, 0)->(1, 1, 0) Ni",SURFACE/7,2.571,1.033,1.18,0.089,,"HOLLOW_FCC(7, 8, 8, 11, 11)","OTHER(7, 7, 8, 8, 11, 11)",True,True,1,0.0117,"(0, 2, 0)c7 1.0101->0.9959",False,True,True,0.7818,0.7744,-0.0074,True,1.0,17378359364103.584,294977019767041.3,0.0133899952043066,0.0118,linked,18ead8631382,pending,pending_research,0.506,0.158,False,,False,,,,,,,,0.1082,0.0931,0.0829,1
249,69abbc958a454954397bd3d046c4afa809f4b977f1addcfc87e85161409fc29f,69abbc958a45,36b43f23b0c45dcf4991bdc7b8931bf858e165a568501fe58eb179c20eae004b,36b43f23b0c4,structural-identity-change,structural: delta+context changed,Q7-hysteresis (approved rule 8),V1NN_inplane,5cf5705e14817baf,Ni,1,"(0, 0, 0)->(1, -1, 0) Ni",SURFACE/7,2.566,1.031,1.545,0.081,,"OTHER(7, 7, 8, 11, 11)","HOLLOW_FCC(7, 7, 8, 11, 11)",False,True,0,,,True,True,True,0.7522,0.7464,-0.0058,True,1.0,22291642583279.074,426376234006166.4,0.0175490465244365,0.0185,linked,5b286f213156,pending,pending_research,0.451,0.141,False,,False,,,,,,,,0.1131,0.0967,0.1105,1
118,920b97fdde2cddfc3317cda8b87ac9a0dea556ab39961624048e3ed6231c81d5,920b97fdde2c,7af75647c3bd3952c5c67beb6afa8dfa59bee28f2228d1f45b47538016867de7,7af75647c3bd,saddle-token-flicker (Q8 strict),token-flicker sig6->4,Q8-coord_sig knife-edge,V1NN_inplane,5cf5705e14817baf,Ni,1,"(0, 0, 0)->(1, 1, 0) Ni",SURFACE/7,2.55,1.025,1.391,0.062,,"HOLLOW_FCC(7, 7, 8, 8, 11, 11)","HOLLOW_FCC(7, 7, 11, 11)",True,False,2,0.0023,"(-1, 1, 0)c8 0.9952->1.0023; (1, -1, 0)c8 0.9971->1.0008",False,True,True,0.803,0.7975,-0.0055,True,1.0,19215806993376.36,275964006096552.2,-0.0119916401918089,-0.0118,linked,7132bca2b32b,pending,pending_research,0.416,0.13,False,,False,,,,,,,,0.0974,0.073,0.0959,1
