# model_version=E_sym_v1_ridge_sym2b3b dE_model_version=H_sigma_v2_surfsplit_aug alpha=30.0 n_train=422 date=2026-07-22
# conditions: production NiCr verify_fix_T500_1vac, rcut 8.5 A, QC'd corpus 422/422 (439 classes / 445 events; 17 classes / 23 events quarantined)
feature,mu,sd,theta
abs_delta_atoms,0.3886255924,0.6499460474,0.04298258365
b_CC,0.4443127962,0.7161663187,-0.00737706227
b_CE,11.59241706,4.902097369,0.03143836193
b_CN,25.91943128,11.02036683,-0.01739442941
b_EE,382.7488152,119.250924,0.0668039685
b_EN,205.4774882,59.15724359,-0.08910876452
b_NN,339.6563981,102.0852571,-0.01560837008
depth_param,4.547393365,3.32181934,0.03177481299
depth_surface,0.6563981043,0.4749101315,0.02338905451
mvC_C,0.0817535545,0.247879645,-0.0124823529
mvC_E,1.630331754,2.85213471,0.00592033142
mvC_N,1.432464455,2.50559811,0.006931800719
mvC_U,0.03317535545,0.3692426764,0.01297266597
mvN_C,0.4751184834,0.5634792562,0.01832041393
mvN_E,5.45971564,3.696038345,0.01946697358
mvN_N,6.969194313,5.754268872,-0.0226994614
mvN_U,0.1421800948,0.7020099686,0.008694525179
n_delta,2.663507109,1.176606504,-0.06152073328
s0_C,0.4348341232,0.5655135199,-0.01958413654
s0_E,4.761848341,2.282903571,0.02345881644
s0_N,6.623222749,2.389299019,-0.0445527426
s0_U,0.06161137441,0.4679239828,0.04533035705
s1_C,0.2109004739,0.4079478693,-0.00399269246
s1_E,2.398104265,1.334129536,-0.05882687951
s1_N,3.127962085,1.2750709,-0.02451415222
s1_U,0.07819905213,0.3316604473,0.01527665064
s2_C,0.5651658768,0.6593439551,-0.01520272563
s2_E,11.13507109,3.639664633,0.01534384045
s2_N,10.56516588,3.00333856,-0.06990572922
s2_U,0.5426540284,1.533768573,-0.1121572177
s3_C,0.2180094787,0.4433370012,-0.04121657969
s3_E,4.912322275,1.994219088,-0.01739979373
s3_N,5.758293839,1.878631379,0.03397058772
s3_U,0.2227488152,0.6833525028,0.03158557902
s4_C,0.3566350711,0.5863301033,0.0145888832
s4_E,10.04383886,4.355483274,0.01133958346
s4_N,10.55450237,3.862490186,0.09849677671
s4_U,0.6327014218,1.516159966,0.03617791244
s5_C,0.1362559242,0.3688565795,-0.013681441
s5_E,3.220379147,1.804749355,0.08463492816
s5_N,3.437203791,1.444130054,0.01718637643
s5_U,0.1516587678,0.5887850751,-0.02382120604
s6_C,0.5722748815,0.7542071825,0.009740381136
s6_E,18.43246445,6.808540294,0.01194638006
s6_N,18.57345972,5.740998053,0.01657544094
s6_U,1.260663507,2.874683998,-0.0003345040776
s7_C,0.04502369668,0.2044791659,-0.02450763637
s7_E,2.202606635,1.199750303,-0.01528493899
s7_N,2.02014218,1.460441074,-0.1499807234
s7_U,0.1137440758,0.4030108379,-0.03285483273
s8_C,0.4004739336,0.6898380626,-0.0135705888
s8_E,11.83649289,4.915691581,-0.08612047699
s8_N,11.68246445,5.02315733,-0.1263274738
s8_U,0.8246445498,1.967161508,-0.01698338167
s9_C,0.9111374408,1.051874488,-0.01531588151
s9_E,41.66350711,19.25279065,0.07626070058
s9_N,22.77606635,11.44361701,-0.03648622742
s9_U,16.5971564,17.76222072,0.04239665056
t3_CC,0.02369668246,0.1218249188,-0.01321033998
t3_CE,0.922985782,0.9793447828,-0.02171629509
t3_CN,1.242890995,1.622453289,0.03478001236
t3_CU,0.01303317536,0.1052903629,0.0318516689
t3_EE,8.969194313,4.113064242,0.0385295113
t3_EN,9.258293839,5.079544045,-0.007799048766
t3_EU,0.1812796209,0.824509202,0.03536704422
t3_NN,11.47867299,9.155878651,-0.02889422588
t3_NU,0.11492891,0.4920600565,-0.0591258365
t3_UU,0.1777251185,0.9161150926,-0.005004246601
intercept_ym,,,1.119597932
