pt_NI,pt_CR,b1_NN,b1_NC,b1_CC,b1_NU,b1_CU,b2_NN,b2_NC,b2_CC,b2_NU,b2_CU,dE_eV,kind,variant,where,mover,site
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.014610066673412803,hop,v0_cr05_s1,bulk,N,1328
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010112301892149844,hop,v0_cr05_s1,bulk,N,1328
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.005993176536321698,hop,v0_cr05_s1,bulk,N,1328
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00707018974753737,hop,v0_cr05_s1,bulk,N,1328
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.008614054427198425,hop,v0_cr05_s1,bulk,N,1328
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.014704964301927248,hop,v0_cr05_s1,bulk,N,1328
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07136679567156534,swap,v0_cr05_s1,bulkA,X,373
0.0,0.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05999946801966871,swap,v0_cr05_s1,bulkA,X,956
0.0,0.0,-1.0,2.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.10353699529696314,swap,v0_cr05_s1,bulkA,X,970
0.0,0.0,-2.0,4.0,-2.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.04902117881556478,swap,v0_cr05_s1,bulkA,X,430
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,-0.007962710789797711,swap,v0_cr05_s1,bulkA,X,1548
0.0,0.0,3.0,-2.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.13481835986567603,swap,v0_cr05_s1,bulkA,X,1122
0.0,0.0,5.0,-6.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.18053034716194816,swap,v0_cr05_s1,bulkA,X,310
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04793485156187671,swap,v0_cr05_s1,bulkA,X,1307
0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.1584259347882835,hop,v0_cr05_s1,subsurf,C,221
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2967704063576093,hop,v0_cr05_s1,subsurf,N,221
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.019684172035340453,hop,v0_cr05_s1,subsurf,N,221
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-0.30195816522427776,hop,v0_cr05_s1,subsurf,N,221
0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28383496169954014,hop,v0_cr05_s1,subsurf,N,221
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.014833997263849596,hop,v0_cr05_s1,subsurf,N,221
0.0,0.0,-3.0,-1.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,1.0105754529758997,hop,v0_cr05_s1,surface,N,1471
0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,-0.021088059694193362,hop,v0_cr05_s1,surface,N,1471
0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,-0.01807068926609645,hop,v0_cr05_s1,surface,N,1471
0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0496683201045016,hop,v0_cr05_s1,surface,N,1471
