v1_pt_NI,v1_pt_CR,v1_b1_NN,v1_b1_NC,v1_b1_CC,v1_b1_NU,v1_b1_CU,v1_b2_NN,v1_b2_NC,v1_b2_CC,v1_b2_NU,v1_b2_CU,v2_pt_NI,v2_pt_CR,v2_b1B_NN,v2_b1B_NC,v2_b1B_CC,v2_b1S_NN,v2_b1S_NC,v2_b1S_CC,v2_b2B_NN,v2_b2B_NC,v2_b2B_CC,v2_b2S_NN,v2_b2S_NC,v2_b2S_CC,v2_b1_NU,v2_b1_CU,v2_b2_NU,v2_b2_CU,dE_eV,E_A_eV,kind,variant,where,mover,occA_sig
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04078460,-6847.437027,hop,v0_cr05_s1,bulk,C,cr:46|51|84|91|111|142|144|153|201|202|281|338|339|380|385|441|462|485|530|535|536|541|548|569|576|594|596|616|632|648|697|704|714|727|728|734|755|777|809|841|873|881|885|905|928|929|996|1001|1030|1034|1039|1073|1120|1154|1165|1174|1189|1217|1223|1230|1261|1295|1302|1307|1332|1360|1377|1385|1407|1412|1467|1487|1491|1501|1505|1543|1551|1560;vac:271
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103276,-6847.437027,hop,v0_cr05_s1,bulk,N,cr:46|51|84|91|111|142|144|153|201|202|281|338|339|380|385|441|462|485|530|535|536|541|548|569|576|594|596|616|632|648|697|704|714|727|728|734|755|777|809|841|873|881|885|905|928|929|996|1001|1030|1034|1039|1073|1120|1154|1165|1174|1189|1217|1223|1230|1261|1295|1302|1307|1332|1360|1377|1385|1407|1412|1467|1487|1491|1501|1505|1543|1551|1560;vac:271
0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00376441,-6847.437027,hop,v0_cr05_s1,bulk,N,cr:46|51|84|91|111|142|144|153|201|202|281|338|339|380|385|441|462|485|530|535|536|541|548|569|576|594|596|616|632|648|697|704|714|727|728|734|755|777|809|841|873|881|885|905|928|929|996|1001|1030|1034|1039|1073|1120|1154|1165|1174|1189|1217|1223|1230|1261|1295|1302|1307|1332|1360|1377|1385|1407|1412|1467|1487|1491|1501|1505|1543|1551|1560;vac:271
0,0,-1,1,0,0,0,1,-1,0,0,0,0,0,-1,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0.02280797,-6847.437027,hop,v0_cr05_s1,bulk,N,cr:46|51|84|91|111|142|144|153|201|202|281|338|339|380|385|441|462|485|530|535|536|541|548|569|576|594|596|616|632|648|697|704|714|727|728|734|755|777|809|841|873|881|885|905|928|929|996|1001|1030|1034|1039|1073|1120|1154|1165|1174|1189|1217|1223|1230|1261|1295|1302|1307|1332|1360|1377|1385|1407|1412|1467|1487|1491|1501|1505|1543|1551|1560;vac:271
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01062686,-6847.437027,hop,v0_cr05_s1,bulk,N,cr:46|51|84|91|111|142|144|153|201|202|281|338|339|380|385|441|462|485|530|535|536|541|548|569|576|594|596|616|632|648|697|704|714|727|728|734|755|777|809|841|873|881|885|905|928|929|996|1001|1030|1034|1039|1073|1120|1154|1165|1174|1189|1217|1223|1230|1261|1295|1302|1307|1332|1360|1377|1385|1407|1412|1467|1487|1491|1501|1505|1543|1551|1560;vac:271
0,0,-1,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00434219,-6847.437027,hop,v0_cr05_s1,bulk,N,cr:46|51|84|91|111|142|144|153|201|202|281|338|339|380|385|441|462|485|530|535|536|541|548|569|576|594|596|616|632|648|697|704|714|727|728|734|755|777|809|841|873|881|885|905|928|929|996|1001|1030|1034|1039|1073|1120|1154|1165|1174|1189|1217|1223|1230|1261|1295|1302|1307|1332|1360|1377|1385|1407|1412|1467|1487|1491|1501|1505|1543|1551|1560;vac:271
0,0,0,0,0,0,0,-1,1,0,0,0,0,0,-4,4,0,4,-4,0,0,0,0,-1,1,0,0,0,0,0,-0.04851208,-6847.437027,swap,v0_cr05_s1,bulkA,X,cr:46|51|84|91|111|142|144|153|201|202|281|338|339|380|385|441|462|485|530|535|536|541|548|569|576|594|596|616|632|648|697|704|714|727|728|734|755|777|809|841|873|881|885|905|928|929|996|1001|1030|1034|1039|1073|1120|1154|1165|1174|1189|1217|1223|1230|1261|1295|1302|1307|1332|1360|1377|1385|1407|1412|1467|1487|1491|1501|1505|1543|1551|1560;vac:271
0,0,-1,2,-1,0,0,0,0,0,0,0,0,0,-1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05657543,-6847.437027,swap,v0_cr05_s1,bulkA,X,cr:46|51|84|91|111|142|144|153|201|202|281|338|339|380|385|441|462|485|530|535|536|541|548|569|576|594|596|616|632|648|697|704|714|727|728|734|755|777|809|841|873|881|885|905|928|929|996|1001|1030|1034|1039|1073|1120|1154|1165|1174|1189|1217|1223|1230|1261|1295|1302|1307|1332|1360|1377|1385|1407|1412|1467|1487|1491|1501|1505|1543|1551|1560;vac:271
0,0,1,-2,1,0,0,1,-2,1,0,0,0,0,1,-2,1,0,0,0,1,-2,1,0,0,0,0,0,0,0,0.01383931,-6847.437027,swap,v0_cr05_s1,bulkA,X,cr:46|51|84|91|111|142|144|153|201|202|281|338|339|380|385|441|462|485|530|535|536|541|548|569|576|594|596|616|632|648|697|704|714|727|728|734|755|777|809|841|873|881|885|905|928|929|996|1001|1030|1034|1039|1073|1120|1154|1165|1174|1189|1217|1223|1230|1261|1295|1302|1307|1332|1360|1377|1385|1407|1412|1467|1487|1491|1501|1505|1543|1551|1560;vac:271
0,0,-3,2,1,0,0,-1,2,-1,0,0,0,0,-7,6,1,4,-4,0,-5,5,0,4,-3,-1,0,0,0,0,-0.10363333,-6847.437027,swap,v0_cr05_s1,bulkA,X,cr:46|51|84|91|111|142|144|153|201|202|281|338|339|380|385|441|462|485|530|535|536|541|548|569|576|594|596|616|632|648|697|704|714|727|728|734|755|777|809|841|873|881|885|905|928|929|996|1001|1030|1034|1039|1073|1120|1154|1165|1174|1189|1217|1223|1230|1261|1295|1302|1307|1332|1360|1377|1385|1407|1412|1467|1487|1491|1501|1505|1543|1551|1560;vac:271
