idx_f,idx_b,ea,mover,ok,n_free,ln_r_state,ln_r_harv,nu0_f_re,nu0_stored,nu0_b_re
60,61,0.6218098878534875,Cr,True,49,0.038462824563708864,0.039449829114460225,7934542657029.522,8126302567691.924,7635152342048.127
174,175,0.6134772250561582,Cr,True,49,-0.09244653868000796,-0.0765817217950371,6959845174161.304,7280293498804.231,7633937503476.969
291,292,0.5664261875299417,Cr,True,49,-0.20702724205895606,-0.19014687706578556,5597969343790.478,5670443814315.164,6885592305380.406
229,230,0.7462281436337435,Ni,True,49,0.13875495214026046,0.15143184272380927,19731869010043.58,19949612604267.043,17175433754052.691
281,282,0.7310075162276917,Ni,True,49,0.2277511319252028,0.23855542552507805,21597109919490.047,23294950974737.4,17198262715225.469
293,294,0.7056850291346564,Ni,True,49,2.2312175874323543,2.2505035666580397,21317105657273.21,21577034880636.395,2289405657077.1274
361,362,0.8068948674635976,Ni,True,49,0.10668162727620256,0.10877281748003031,20876499715877.13,21339225774029.555,18764043965803.12
405,406,0.781799611751012,Ni,True,49,0.02950631472498344,0.033766041776516556,17133813748062.51,17378359364103.584,16635643769899.139
84,85,1.4215304012477645,Ni,True,45,-0.40154599424434423,-0.45565830914250677,4894687853780.383,4587224702768.095,7313313833340.132
379,380,1.7476788498079259,Cr,True,49,3.063295527454869,3.073915177865274,22295287613934.87,22512842799666.836,1041935260038.569
299,300,1.790943732004962,Cr,True,49,2.4332835986464545,2.4363701059157847,28208418699573.74,28341108130060.195,2475238785088.926
383,384,1.8204679486434543,Cr,True,49,1.895744175579722,1.905855367185609,32437667085853.73,33042920742221.926,4872348876603.697
23,24,2.1989362280119167,Ni,True,49,2.1092871633109382,2.10871792369835,69996045091574.555,69897079331818.555,8492229581007.484
247,248,2.1933250894035154,Ni,True,49,2.0615729407136314,2.0443775851035753,58581416144086.1,58404446756049.914,7454699023191.105
88,89,2.1771457382392327,Ni,True,49,2.0725911990115264,2.0513242056795207,65268336710046.35,64706698463580.414,8214622764350.218
239,240,2.2678397241070343,Cr,True,49,1.5945616200828283,1.6002304015810298,59503717156406.2,59639540347218.87,12079105765530.035
198,199,2.2653007538037855,Cr,True,49,1.6435093472121025,1.638390168614933,56510165668020.13,57075181215746.36,10923442829824.355
251,252,2.233638977731971,Cr,True,49,1.2984609820716742,1.3167125319972683,51048240677753.38,51914875940294.04,13933696278471.904
144,145,2.2243079397558176,Ni,True,49,2.141819329352586,2.121871416730073,62506293067645.24,61543603994834.34,7340800608480.831
375,376,2.2323519012825273,Ni,True,49,2.1127591162332067,2.1123281101923794,61985765044513.9,62962599269805.74,7494321844407.138
210,211,2.2095837286478854,Ni,True,49,2.0634474254973725,2.060110731366649,65369566997059.72,65679699869667.1,8302937669171.535
