T,n_vac,MSD,sim_t,D,wall_s,pair_t0,pair_end,min_t0,min_end
300,1,2675332.0,4.891757809e-06,9.115101034771337e-06,5.385,,,,
300,2,1364184.0,2.450356006e-06,9.278814973957705e-06,5.051,22.973669207172183,26.13135671220931,22.973669207172183,26.13135671220931
300,3,871906.7,1.636582084e-06,8.879345848523496e-06,5.692,25.965964200561015,20.39265504037216,22.973669207172183,14.05003525560122
300,4,562652.3,1.229679745e-06,7.626000486275663e-06,5.699,24.350566150820054,18.427703876468453,15.955591719642024,7.4755330085754395
300,5,446492.2,9.854665352e-07,7.5512829719341115e-06,6.009,22.98849736050594,21.518432184013143,11.143864233334153,8.979495321884905
300,6,360750.6,8.226694845e-07,7.308536554816139e-06,6.188,22.077199435267065,22.122792863997716,11.143864233334153,7.1048273127084
300,7,433499.5,7.065982005e-07,1.0225035474975946e-05,6.468,21.233146071064642,20.721613449991157,11.143864233334153,3.114805221557617
300,8,265087.7,6.192358566e-07,7.134807014554482e-06,6.794,21.755266645802493,21.098565255962054,3.5239991564323407,4.765828402869963
300,9,320980.0,5.515833929e-07,9.698744986755866e-06,7.224,21.902176751093755,21.809110941111882,3.5239991564323407,4.4009051940984465
300,10,148432.3,4.972778865e-07,4.974827423110572e-06,7.586,21.985134049320127,21.356555453930113,3.5239991564323407,3.007922341189084
400,1,2181998.0,7.061946553e-07,5.14966136608388e-05,5.085,,,,
400,2,994871.6,3.536744964e-07,4.6882637855177086e-05,5.085,22.973669207172183,17.633570946614086,22.973669207172183,17.633570946614086
400,3,729736.3,2.361572171e-07,5.1500740972555555e-05,5.593,25.965964200561015,20.378139765902034,22.973669207172183,13.823806925491244
400,4,586062.9,1.774220597e-07,5.5053554312896964e-05,5.693,24.350566150820054,22.245898300630824,15.955591719642024,11.807134188552778
400,5,611064.4,1.421904987e-07,7.162508578125316e-05,5.992,22.98849736050594,19.788082427653542,11.143864233334153,5.392883132303821
400,6,402017.0,1.18678009e-07,5.645766549161886e-05,6.228,22.077199435267065,21.592751377030904,11.143864233334153,7.205914173876695
400,7,221217.4,1.018826279e-07,3.6188276084569526e-05,6.613,21.233146071064642,22.799531104316067,11.143864233334153,6.199417733906969
400,8,232081.9,8.929343354e-08,4.331820956278872e-05,7.118,21.755266645802493,20.70222268323045,3.5239991564323407,3.63088342640651
400,9,203952.2,7.952813954e-08,4.274214577374399e-05,7.24,21.902176751093755,21.086639368337572,3.5239991564323407,4.031888096615873
400,10,205361.7,7.166083787e-08,4.776241949904514e-05,7.872,21.985134049320127,20.7612127395483,3.5239991564323407,4.035983382061734
500,1,2743649.0,2.013010736e-07,0.00022715965948694934,5.181,,,,
500,2,1203337.0,1.008198613e-07,0.00019892525548105143,5.183,22.973669207172183,21.879708037879,22.973669207172183,21.879708037879
500,3,885948.0,6.730991583e-08,0.00021937035305901972,5.451,25.965964200561015,21.435576488250472,22.973669207172183,16.4509618917894
500,4,730084.2,5.055784258e-08,0.00024067621122768248,5.792,24.350566150820054,16.796647414510918,15.955591719642024,8.146890350044808
500,5,416912.1,4.051219824e-08,0.00017151710600436673,5.836,22.98849736050594,21.362637449118832,11.143864233334153,4.88502448826037
500,6,620504.0,3.380189456e-08,0.0003059512926110178,6.096,22.077199435267065,21.110402658387635,11.143864233334153,5.904866345055021
500,7,498432.0,2.901930646e-08,0.00028626459462256906,6.597,21.233146071064642,20.82590831038872,11.143864233334153,5.023866375034021
500,8,486449.8,2.543027958e-08,0.000318812722493343,7.0,21.755266645802493,21.32006987067021,3.5239991564323407,4.552936803441231
500,9,274236.8,2.263287775e-08,0.00020194574387843067,7.34,21.902176751093755,20.500347097811236,3.5239991564323407,4.031890237410709
500,10,322442.6,2.040379347e-08,0.0002633845192186869,7.653,21.985134049320127,21.254307831299702,3.5239991564323407,4.658943677948027
600,1,2869044.0,8.28054374e-08,0.0005774669091959897,5.192,,,,
600,2,1355179.0,4.145864507e-08,0.0005447914814517278,5.073,22.973669207172183,30.0003113703587,22.973669207172183,30.0003113703587
600,3,909034.6,2.767695944e-08,0.0005474075539081928,5.434,25.965964200561015,23.090312532255776,22.973669207172183,14.742013647783896
600,4,709123.6,2.07891284e-08,0.0005685051551592064,5.785,24.350566150820054,19.624289189492764,15.955591719642024,6.5887431856637715
600,5,561382.1,1.664569424e-08,0.0005620894027267277,6.046,22.98849736050594,19.773725940268267,11.143864233334153,6.554455417032228
600,6,461501.0,1.389511202e-08,0.0005535531719544447,6.894,22.077199435267065,20.16005090749647,11.143864233334153,5.85889794753024
600,7,289326.0,1.192644455e-08,0.00040431999493092843,6.375,21.233146071064642,20.58320116558769,11.143864233334153,3.8848271242416286
600,8,315284.4,1.044998267e-08,0.0005028467669219589,6.88,21.755266645802493,21.331913545619727,3.5239991564323407,5.392883251513139
600,9,402357.2,9.300377244e-09,0.0007210410026818621,7.145,21.902176751093755,22.16036645419812,3.5239991564323407,4.631079465704681
600,10,329657.5,8.383631353e-09,0.0006553594063628034,7.74,21.985134049320127,21.158433990763253,3.5239991564323407,4.289928012089112
700,1,7250811.0,4.257543455e-08,0.0028384173004289393,5.096,,,,
