row_idx,flag,family_id,bucket,Ea_mean_eV,Ea_std_eV,Ea_min_eV,Ea_max_eV,n_events,site_motion_template,representative_row_indices,decision_notes
1,?,surface_subsurface_exchange_down,nv1=5,0.0006705452309688001,0.0002392830772133428,0.0003631420477177,0.0009806053276406,10,"2-atom concerted exchange, -z component","[1625, 1724, 2502, 20910, 21449]",
2,?,surface_interlayer_hop,li=0_nv1=8,0.0007173906805374272,0.00012292909202922704,0.0003800061385845,0.000867252878379,11,"<111>_interlayer, single-atom, mover starts at surface","[17596, 18365, 18617, 20269, 21412]",
3,?,surface_interlayer_hop,li=0_nv1=7,0.005418888304726908,0.0020894908135365917,0.0015505730989389,0.0078172735084081,12,"<111>_interlayer, single-atom, mover starts at surface","[1996, 20924, 22239, 26729, 38872]",
4,?,surface_interlayer_hop,li=0_nv1=6,0.017357017590131738,0.011185219307576827,4.9134352593682706e-05,0.1603802588651888,349,"<111>_interlayer, single-atom, mover starts at surface","[1421, 1499, 1546, 1679, 1727]",
5,?,surface_1NN_inplane,nv1=4_nv2=1,0.16656858735957938,0.06470586253137234,0.1086499087978154,0.4296218039671657,300,"<110>_inplane, single-atom, vacancy at surface layer","[2206, 2714, 3079, 3144, 3150]",
6,?,surface_interlayer_hop,li=0_nv1=5,0.17573439216329673,0.04999991131800265,0.0223821095423772,0.2643586697013234,52,"<111>_interlayer, single-atom, mover starts at surface","[1391, 2807, 3404, 3810, 3862]",
7,?,surface_1NN_inplane,nv1=4_nv2=0,0.2106356839999049,0.019480024032324853,0.1667341918000602,0.2913255690655205,103,"<110>_inplane, single-atom, vacancy at surface layer","[1018, 2047, 2109, 2145, 2170]",
8,?,surface_1NN_inplane,nv1=4_nv2=2,0.21939976132830183,0.15662726339451288,0.0605809902335749,0.7342691004741937,253,"<110>_inplane, single-atom, vacancy at surface layer","[3279, 3491, 3508, 3592, 3651]",
9,?,subsurface_1NN_inplane,nv1=4_nv2=1,0.23990300936856254,0.011873609662306918,0.1932380666039534,0.2849483656973461,3996,"<110>_inplane, single-atom, vacancy at subsurface (top-1) la","[4, 20, 28, 41, 59]",
10,?,surface_1NN_inplane,nv1=3_nv2=1,0.2565011047321898,0.19545166639829564,0.0863675334476283,0.9752571139106294,2082,"<110>_inplane, single-atom, vacancy at surface layer","[973, 996, 1087, 1092, 1137]",
11,?,subsurface_1NN_inplane,nv1=3_nv2=0,0.2796231518295826,0.007745989937336368,0.2741459098178893,0.2851003938412759,2,"<110>_inplane, single-atom, vacancy at subsurface (top-1) la","[5182, 29373]",
12,?,subsurface_1NN_inplane,nv1=5_nv2=1,0.2838707084905764,0.009844527721180434,0.2654658193714567,0.2936272132428712,10,"<110>_inplane, single-atom, vacancy at subsurface (top-1) la","[10912, 24036, 25383, 29303, 30949]",
